id,kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book,event_id,opening_spread_away,opening_spread_home,opening_total,fetched_at
1,2026-09-17 20:15:00-04:00,Detroit Lions,Buffalo Bills,4.5,-108,-4.5,-112,53.5,-115,-105,180,-218,DraftKings,DraftKings,DraftKings,56e8897681915f7ec92baeee952bb1ae,4.5,-4.5,53.5,2026-09-15T11:52:49-04:00
2,2026-09-20 13:00:00-04:00,Carolina Panthers,Atlanta Falcons,-2.5,-102,2.5,-118,43.5,-118,-102,-142,120,DraftKings,DraftKings,DraftKings,aee7eae1849ebb103b9bf233e9741392,-2.5,2.5,43.5,2026-09-15T11:52:49-04:00
3,2026-09-20 13:00:00-04:00,New Orleans Saints,Baltimore Ravens,8.5,-110,-8.5,-110,46.5,-118,-102,320,-410,DraftKings,DraftKings,DraftKings,2143ade9684fd876b68a4e8cbf451f05,8.5,-8.5,46.5,2026-09-15T11:52:49-04:00
4,2026-09-20 13:00:00-04:00,Minnesota Vikings,Chicago Bears,5.5,-110,-5.5,-110,48.5,-110,-110,185,-225,DraftKings,DraftKings,DraftKings,0283a29e1b38ef78b29b904fd56a16dd,5.5,-5.5,48.5,2026-09-15T11:52:49-04:00
5,2026-09-20 13:00:00-04:00,Cincinnati Bengals,Houston Texans,2.5,-105,-2.5,-115,46.5,-108,-112,120,-142,DraftKings,DraftKings,DraftKings,36ad2fa722f4915ef23d2c81351261de,2.5,-2.5,46.5,2026-09-15T11:52:49-04:00
6,2026-09-20 13:00:00-04:00,Cleveland Browns,Tampa Bay Buccaneers,8.5,-108,-8.5,-112,40.5,-115,-105,320,-410,DraftKings,DraftKings,DraftKings,0636ebff776d43f8c829a36713c80b22,8.5,-8.5,40.5,2026-09-15T11:52:49-04:00
7,2026-09-20 13:00:00-04:00,Green Bay Packers,New York Jets,-4.5,100,4.5,-120,44.5,-112,-108,-205,170,DraftKings,DraftKings,DraftKings,4aeee070bb6ec60bdfae4dede61b9014,-4.5,4.5,44.5,2026-09-15T11:52:49-04:00
8,2026-09-20 13:00:00-04:00,Pittsburgh Steelers,New England Patriots,5.5,-110,-5.5,-110,41.5,-112,-108,190,-230,DraftKings,DraftKings,DraftKings,9d14f87600f6edc74dbcb5c74edf6246,5.5,-5.5,41.5,2026-09-15T11:52:49-04:00
9,2026-09-20 13:00:00-04:00,Philadelphia Eagles,Tennessee Titans,-7.0,-110,7.0,-110,39.5,-110,-110,-305,245,DraftKings,DraftKings,DraftKings,fafc649c455e32a0f2ba1bd06e2039bc,-7.0,7.0,39.5,2026-09-15T11:52:49-04:00
10,2026-09-20 16:05:00-04:00,Jacksonville Jaguars,Denver Broncos,2.5,-110,-2.5,-110,44.5,-102,-118,114,-135,DraftKings,DraftKings,DraftKings,1fd6628c781f556a7a19638e97d7107f,2.5,-2.5,44.5,2026-09-15T11:52:49-04:00
11,2026-09-20 16:05:00-04:00,Las Vegas Raiders,Los Angeles Chargers,7.0,-115,-7.0,-105,43.5,-110,-110,250,-310,DraftKings,DraftKings,DraftKings,71b3b83747589efdc5baef2c5cf811bf,7.0,-7.0,43.5,2026-09-15T11:52:49-04:00
12,2026-09-20 16:25:00-04:00,Seattle Seahawks,Arizona Cardinals,-4.5,-105,4.5,-115,41.5,-110,-110,-225,185,DraftKings,DraftKings,DraftKings,4dd8020192a544385db42374e5555303,-4.5,4.5,41.5,2026-09-15T11:52:49-04:00
13,2026-09-20 16:25:00-04:00,Washington Commanders,Dallas Cowboys,3.5,-108,-3.5,-112,50.5,-108,-112,185,-225,DraftKings,DraftKings,DraftKings,85ef85098ddd22fe4ecf45e7e3c0a9c0,3.5,-3.5,50.5,2026-09-15T11:52:49-04:00
14,2026-09-20 16:25:00-04:00,Miami Dolphins,San Francisco 49ers,12.5,-105,-12.5,-115,45.5,-108,-112,625,-950,DraftKings,DraftKings,DraftKings,68bc55903f50af4af4766adcc89fcc61,12.5,-12.5,45.5,2026-09-15T11:52:49-04:00
15,2026-09-20 20:20:00-04:00,Indianapolis Colts,Kansas City Chiefs,6.5,100,-6.5,-120,47.5,-110,-110,245,-305,DraftKings,DraftKings,DraftKings,50bc247030707d823b9c3581d7eb5760,6.5,-6.5,47.5,2026-09-15T11:52:49-04:00
16,2026-09-21 20:15:00-04:00,New York Giants,Los Angeles Rams,7.0,-105,-7.0,-115,48.5,-108,-112,280,-355,DraftKings,DraftKings,DraftKings,32367f882fac1a0c20a6335619922025,7.0,-7.0,48.5,2026-09-15T11:52:49-04:00
