id,kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book,event_id,opening_spread_away,opening_spread_home,opening_total,fetched_at
1,2026-09-24 20:15:00-04:00,Atlanta Falcons,Green Bay Packers,4.5,-105,-4.5,-115,42.5,-118,-102,200,-245,DraftKings,DraftKings,DraftKings,e5fbd3b3953b896b1bf897ddadb3cc4b,6.0,-6.0,43.5,2026-09-24T06:43:01-04:00
2,2026-09-27 13:00:00-04:00,Los Angeles Chargers,Buffalo Bills,7.0,-105,-7.0,-115,50.5,-105,-115,275,-345,DraftKings,DraftKings,DraftKings,b225458a282e140c44c45651255f2f6c,7.0,-7.0,50.5,2026-09-24T06:43:01-04:00
3,2026-09-27 13:00:00-04:00,Carolina Panthers,Cleveland Browns,-2.5,-120,2.5,100,42.5,-108,-112,-148,124,DraftKings,DraftKings,DraftKings,613b8cd3a5fab58f7be4e3fd6f76223e,-2.5,2.5,42.5,2026-09-24T06:43:01-04:00
4,2026-09-27 13:00:00-04:00,Cincinnati Bengals,Pittsburgh Steelers,-3.5,-115,3.5,-105,42.5,-110,-110,-192,160,DraftKings,DraftKings,DraftKings,71123be049587b6facce3a20c53e5d09,-3.5,3.5,42.5,2026-09-24T06:43:01-04:00
5,2026-09-27 13:00:00-04:00,New York Jets,Detroit Lions,6.5,-105,-6.5,-115,47.5,-108,-112,245,-305,DraftKings,DraftKings,DraftKings,07f552badfa8a565d1be22123713e4da,6.5,-6.5,48.5,2026-09-24T06:43:01-04:00
6,2026-09-27 13:00:00-04:00,Houston Texans,Indianapolis Colts,-2.5,-115,2.5,-105,42.5,-112,-108,-142,120,DraftKings,DraftKings,DraftKings,17a730b7d399feeab6a78c30767c29d2,-2.5,2.5,43.5,2026-09-24T06:43:01-04:00
7,2026-09-27 13:00:00-04:00,New England Patriots,Jacksonville Jaguars,3.0,-118,-3.0,-102,45.5,-115,-105,130,-155,DraftKings,DraftKings,DraftKings,1f3cfd315a24d1a7dd5859a8e6b88e18,3.0,-3.0,45.5,2026-09-24T06:43:01-04:00
8,2026-09-27 13:00:00-04:00,Kansas City Chiefs,Miami Dolphins,-10.5,-115,10.5,-105,46.5,-105,-115,-650,470,DraftKings,DraftKings,DraftKings,0339a0e41bcee12820eb3e64bb5fadb4,-11.5,11.5,46.5,2026-09-24T06:43:01-04:00
9,2026-09-27 13:00:00-04:00,Tennessee Titans,New York Giants,3.0,-120,-3.0,100,39.5,-112,-108,120,-142,DraftKings,DraftKings,DraftKings,555afd4a27aaa392662881cffa8f2eef,3.5,-3.5,40.5,2026-09-24T06:43:01-04:00
10,2026-09-27 13:00:00-04:00,Seattle Seahawks,Washington Commanders,-7.0,-115,7.0,-105,40.5,-102,-118,-345,275,DraftKings,DraftKings,DraftKings,2a529c108305ffa049d8b6cfdbaa4d36,-7.0,7.0,40.5,2026-09-24T06:43:01-04:00
11,2026-09-27 16:05:00-04:00,Arizona Cardinals,San Francisco 49ers,8.5,-112,-8.5,-108,47.5,-115,-105,340,-440,DraftKings,DraftKings,DraftKings,9d2b09e0f9b6dd5ce0d985894f4f98fa,8.5,-8.5,47.5,2026-09-24T06:43:01-04:00
12,2026-09-27 16:05:00-04:00,Minnesota Vikings,Tampa Bay Buccaneers,-1.5,-108,1.5,-112,42.5,-110,-110,-122,102,DraftKings,DraftKings,DraftKings,f1724dead3eab61546033032fc782375,-1.5,1.5,42.5,2026-09-24T06:43:01-04:00
13,2026-09-27 16:25:00-04:00,Baltimore Ravens,Dallas Cowboys,-3.5,-110,3.5,-110,52.5,-112,-108,-180,150,DraftKings,DraftKings,DraftKings,84cfca14efc21363fd605508404cf1ff,-3.0,3.0,52.5,2026-09-24T06:43:01-04:00
14,2026-09-27 16:25:00-04:00,Las Vegas Raiders,New Orleans Saints,3.0,102,-3.0,-122,43.5,-110,-110,154,-185,DraftKings,DraftKings,DraftKings,2e523fcb0497aa689473e290eb2b97de,3.0,-3.0,43.5,2026-09-24T06:43:01-04:00
15,2026-09-27 20:20:00-04:00,Los Angeles Rams,Denver Broncos,-2.5,-112,2.5,-108,44.5,-115,-105,-135,114,DraftKings,DraftKings,DraftKings,3bfd8bfb4b8e9a365a0877879b73b16b,-2.5,2.5,45.5,2026-09-24T06:43:01-04:00
16,2026-09-28 20:15:00-04:00,Philadelphia Eagles,Chicago Bears,-4.5,-115,4.5,-105,41.5,-105,-115,-225,185,DraftKings,DraftKings,DraftKings,47dc7baa254659f3beb2ed2b38c207b6,-3.5,3.5,43.5,2026-09-24T06:43:01-04:00
